lon,lat,name,type
9.205694,45.47415,People's Place,cafe
9.189704,45.479909,Poldo,cafe
9.189985,45.483354,Unknown name,bar
9.18426,45.478598,Volta Street,restaurant
9.184083,45.477658,Oracle,restaurant
9.184263,45.478211,Bomaki,restaurant
9.159181,45.467154,Lo Gnomo Gelato,ice cream
9.159883,45.467271,Il Panino Giusto,fast food
9.179615,45.453149,Panino Giusto,fast food
9.189285,45.478667,Daniel,restaurant
9.175291,45.452057,Officina 12,restaurant
9.201232,45.480214,Gelsomina,cafe
9.202911,45.478927,Ristorante Nara,restaurant
9.186068,45.481255,Signorvino,restaurant
9.188403,45.464361,McDonald's,fast food
9.188395,45.464289,Unknown name,ice cream
9.184155,45.477967,Rossopomodoro,restaurant
9.184828,45.477828,Princi,cafe
9.203163,45.47887,Pucatè - Bubble Tea,cafe
9.190178,45.450723,Taxi Blues,bar
9.189997,45.451101,Il Pizzino,restaurant
9.187334,45.451044,Taxi Blues,bar
9.1818,45.461757,Unknown name,cafe
9.182454,45.458997,Yguana,bar
9.180439,45.453134,McDonald's,fast food
9.182606,45.467735,Unknown name,fast food
9.181903,45.467748,Unknown name,cafe
9.190272,45.464924,Motta,cafe
9.181771,45.481754,Circolo ex Combattenti e Reduci,bar
9.186856,45.45167,Bar Tiffany,cafe
9.190178,45.450821,Reef,bar
9.190617,45.45074,Bar Bocconi,bar
9.189571,45.450981,Lino's Coffe,cafe
9.171476,45.459836,Lleva Taps,restaurant
9.187457,45.451535,Venti 136,cafe
9.191894,45.450843,Amici Miei,restaurant
9.191047,45.450815,Bocconi Giusti,fast food
9.186998,45.458889,Dal Bolognese,restaurant
9.192401,45.459279,Bar One,bar
9.173436,45.456438,Da Willy,restaurant
9.187516,45.466492,Café Victoria,cafe
9.188954,45.466341,Grom,ice cream
9.167027,45.471712,La Bottega dell'Antico Gusto,cafe
9.168679,45.47114,Unknown name,cafe
9.171742,45.476482,Unknown name,restaurant
9.171696,45.476534,Deseo,bar
9.17046,45.476862,Bottega Ghiotta,restaurant
9.172689,45.477163,Il Tunnel,restaurant
9.170728,45.477287,Jazz Cafè,bar
9.172488,45.477644,Pop Up,restaurant
9.172649,45.476809,Okonomiyaki,restaurant
9.174641,45.477308,Pils Pub,bar
9.174547,45.477232,Carpe Diem Bar,cafe
9.173164,45.476364,Living,bar
9.17402,45.477797,Pandemus,cafe
9.169908,45.479745,Unknown name,cafe
9.170299,45.477648,Poku Poke Place,restaurant
9.175385,45.477814,Unknown name,bar
9.172065,45.468565,Osteria della Via Appia,restaurant
9.185678,45.465948,Granaio,cafe
9.174094,45.467678,Chocolat,ice cream
9.177677,45.451319,Burgerama,restaurant
9.176518,45.467512,La Rocchetta,bar
9.192744,45.47048,il Salumaio,restaurant
9.185058,45.482711,Gran Caffè Bonnet,cafe
9.186103,45.480957,Princi,cafe
9.177461,45.459584,Pummà Milano,restaurant
9.170854,45.453074,Empire,cafe
9.189847,45.464932,Camparino in Galleria,bar
9.190166,45.465257,Biffi,cafe
9.1786,45.472273,Cafe' De Paris Piccaluga,bar
9.190565,45.465721,Ristorante Savini,restaurant
9.194138,45.465665,Charleston,restaurant
9.192221,45.472813,Arcadia Caffe Self Service,cafe
9.185011,45.469609,Gelateria Toldo,ice cream
9.184787,45.469002,Good Fellas,cafe
9.18574,45.472075,Hosteria della musica,restaurant
9.180773,45.453302,California Bakery,restaurant
9.1715,45.455612,Langosteria Bistrot,restaurant
9.181718,45.45603,Walden Milano,cafe
9.202849,45.478364,Caffè Milani,cafe
9.187053,45.467773,Bar Dei Bossi,cafe
9.188992,45.466388,La Piadineria,fast food
9.180189,45.478042,Ristorante Nuova Arena,restaurant
9.177531,45.473553,Bar Bianco,bar
9.182168,45.459113,Cheese,bar
9.174564,45.467931,Temakinho,bar
9.182179,45.459695,20 - Twenty,bar
9.182812,45.459432,La Hora Feliz,bar
9.169022,45.453828,Osteria del binari,restaurant
9.194869,45.461559,Arnold Coffee,cafe
9.194164,45.460852,Campus Café,cafe
9.194971,45.461521,Zen Zero Caffè,cafe
9.16477,45.467309,Grom,ice cream
9.199053,45.463305,Taveggia,cafe
9.197121,45.463317,Unknown name,cafe
9.181022,45.459504,Zero Due,restaurant
9.176049,45.466139,12oz Coffee Joint,bar
9.176276,45.466499,Cantina Carducci,restaurant
